Altium Designer Pick and Place Locations
D:\svn\applications\hardware\pca10143\tags\0.7.2\production_files\400631_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       06.12.22
Time:       14:02
Revision:   26970
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C57","10µF","TopLayer","CAPC1608X06L","13.6660","27.1365","270","Capacitor, X5R, ±20%, 25V"
"C59","10µF","TopLayer","CAPC1608X06L","17.4910","27.1365","270","Capacitor, X5R, ±20%, 25V"
"C60","10µF","TopLayer","CAPC1608X06L","18.6285","27.1365","270","Capacitor, X5R, ±20%, 25V"
"C61","4.7µF","TopLayer","CAPC1005X04L","21.1074","22.4588","0","Capacitor, X5R, 10V"
"C62","150pF","TopLayer","CAPC0603X03L_C","19.0500","17.5260","180","Capacitor, Ceramic, NP0, ±5%, 25V"
"C63","10µF","TopLayer","CAPC1608X06L","16.8148","17.9578","0","Capacitor, Ceramic, X5R, ±20%, 25V"
"C65","100nF","TopLayer","CAPC0603X03L_C","27.5336","28.1940","0","Capacitor, X5R, ±10%"
"C67","1.0µF","TopLayer","CAPC1608X06L","105.0544","46.0756","0","Capacitor, X7R, ±10%"
"D3","NSR0620P2T5G","TopLayer","SODFL100X40-2N","24.4348","29.7656","90","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"D4","NSR0620P2T5G","TopLayer","SODFL100X40-2N","21.1000","23.6250","180","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"D5","NSR0620P2T5G","TopLayer","SODFL100X40-2N","26.0604","29.7656","90","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"D6","NSR0620P2T5G","TopLayer","SODFL100X40-2N","7.6250","11.8000","90","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"D7","NSR0620P2T5G","TopLayer","SODFL100X40-2N","25.2476","29.7656","90","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"L6","4.7µH","TopLayer","TY-NR3015","17.3990","20.2692","270","Ferrite Inductor, Shielded, 1,04A, 144mOhm"
"L7","4.7µH","TopLayer","VLS3012HBX","14.7660","24.3115","0","4.7µH Shielded Wirewound Inductor 2.23A 201 mOhm Max Nonstandard"
"P21","Pin List 1x2, Angled","TopLayer","LIST_ANG_1x2-SMD-2.54MM","9.7520","19.2786","270","Pin List 1x2, 2.54mm (100mil), Right Angled, SMD"
"P22","Pin List 1x2, Angled","TopLayer","LIST_ANG_1x2-SMD-2.54MM","9.7520","43.0000","270","Pin List 1x2, 2.54mm (100mil), Right Angled, SMD"
"P23","Pin List 1x2, Angled","TopLayer","LIST_ANG_1x2-SMD-2.54MM","9.7520","51.2000","270","Pin List 1x2, 2.54mm (100mil), Right Angled, SMD"
"Q3","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","33.1470","18.0340","90","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"Q6","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","36.6268","16.1290","90","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"Q7","FCX690BTA","TopLayer","SOT89-150P409X160-3N","24.5640","21.3360","0","45V NPN high gain power transistor"
"Q9","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","32.0294","18.0340","270","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"R8","1M0","TopLayer","RESC0603X03L_C","32.2580","19.9136","270","Resistor, ±1%, 0.05W"
"R12","47k","TopLayer","RESC0603X03L_C","33.1470","19.9136","270","Resistor, ±1%, 0.05W"
"R58","1k","TopLayer","RESC0603X03L_C","37.5920","16.1798","90","Resistor, ±1%, 0.05W"
"R60","150k","TopLayer","RESC0603X03L_C","19.0500","18.0848","180","Resistor, ±1%, 0.05W"
"R61","10M","TopLayer","RESC0603X03L_C","35.8140","16.0528","90","Resistor, ±1%, 0.05W"
"R63","120k","TopLayer","RESC0603X03L_C","20.2946","18.0848","180","Resistor, ±1%, 0.05W"
"R69","1M0","TopLayer","RESC0603X03L_C","28.4480","16.6116","0","Resistor, ±1%, 0.05W"
"R70","10M","TopLayer","RESC0603X03L_C","32.5882","38.4556","90","Resistor, ±1%, 0.05W"
"R77","10k","TopLayer","RESC0603X03L_C","33.1724","38.4556","90","Resistor, ±1%, 0.05W"
"SB37","Solderbridge","TopLayer","Solderbridge","30.1442","15.9924","180","Solderbridge"
"SB39","Solderbridge","TopLayer","Solderbridge","24.5618","16.6878","270","Solderbridge"
"SB48","Solderbridge","TopLayer","Solderbridge","29.2608","30.1244","270","Solderbridge"
"SB80","Solderbridge","TopLayer","Solderbridge","105.7148","44.7802","90","Solderbridge"
"SW8","MK-22D14-G2","TopLayer","MK-22D14-G2","5.5276","5.3594","0","Slide Switch DPDT"
"SW10","CAS-220TA","TopLayer","CAS-220TA","20.6248","4.0640","180","Slide Switch DPDT J Hook"
"TP24","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","5.8674","45.9232","180","1.5mm circular SMD testpad"
"TP25","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","5.8674","48.9230","180","1.5mm circular SMD testpad"
"TP27","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","16.4084","9.9314","180","1.5mm circular SMD testpad"
"TP28","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","11.5316","9.9314","180","1.5mm circular SMD testpad"
"TP29","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","22.3520","16.3830","0","1.0mm circular SMD testpad"
"TP30","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","26.0604","9.9314","270","1.5mm circular SMD testpad"
"TP32","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","5.2832","9.9314","180","1.5mm circular SMD testpad"
"TP33","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","31.4960","37.3380","0","1.0mm circular SMD testpad"
"TP34","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","28.7020","17.7800","0","1.0mm circular SMD testpad"
"TP35","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","32.3088","15.3162","180","1.5mm circular SMD testpad"
"TP36","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","69.2150","38.1000","0","1.0mm circular SMD testpad"
"TP37","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","72.2658","14.5542","180","1.5mm circular SMD testpad"
"TP38","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","107.4674","43.7134","180","1.5mm circular SMD testpad"
"TP39","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","69.4690","40.0050","180","1.5mm circular SMD testpad"
"TP40","TP","TopLayer","TESTPAD-TH","125.0950","60.9600","0","Testpoint, through hole"
"TP41","TP","TopLayer","TESTPAD-TH","97.9932","3.2258","0","Testpoint, through hole"
"U9","TS27L2IPT","TopLayer","TSOP65P640X120-8N","24.9428","25.7810","0","Precision very low power CMOS dual operational amplifier"
"U10","XC9148","TopLayer","USP-6C","15.6160","27.8115","270","1.4A Driver Transistor Built-In, Multi Functional Step-Up DC/DC Converter"
"U11","XC9236","TopLayer","USP-6C","20.7264","20.2434","0","600mA Driver Transistor Built-In, Synchronous Step-Down DC/DC Converters"
"U12","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","25.5778","17.8816","180","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"U14","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","23.3172","17.8816","180","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"U19","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","30.1188","17.1862","180","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"U20","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","107.1626","45.5422","90","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"U22","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","27.4828","30.3530","270","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"L5","3.3µH","TopLayer","INDC2520X10N","110.7143","22.7838","180","Inductor, 1A, ±20%, 200mOhm"
"C77","2.2µF","TopLayer","CAPC1608X06L","111.5250","20.0750","90","Capacitor, Ceramic, 2.2µF 16V X7S 0603,±10%"
"C83","4.7µF","TopLayer","CAPC1608X06L","119.4500","24.5500","270","Capacitor, Ceramic, 4.7µF 25V X6S 0603,±10%"
"C85","0.22µF","TopLayer","CAPC0603X03L_C","117.9119","24.0064","270","Capacitor, Ceramic, 0.22µF 10V X5R 0201, ±10%"
"C78","4.7µF","TopLayer","CAPC1608X06L","110.2250","24.6500","180","Capacitor, Ceramic, 4.7µF 25V X6S 0603,±10%"
"C82","4.7µF","TopLayer","CAPC1608X06L","112.6250","24.6500","0","Capacitor, Ceramic, 4.7µF 25V X6S 0603,±10%"
"C75","0.47µF","TopLayer","CAPC0603X03L_C","111.2529","18.6338","0","Capacitor, Ceramic, 0.47µF 6.3V X5R 0201,±10%"
"C88","1.0µF","TopLayer","CAPC1005X04L","114.8528","24.2338","270","Capacitor, Ceramic, 1.0µF 35V X5R 0402,±10%"
"C76","10nF","TopLayer","CAPC0603X03L_C","112.4500","20.5000","90","Capacitor, Ceramic, 10nF 16V X7R 0201,±10%"
"C64","2.2µF","TopLayer","CAPC1005X04L","111.2279","17.0838","0","Capacitor, Ceramic, 2.2µF 25V X5R 0201,±10%"
"C58","1.0µF","TopLayer","CAPC1005X04L","111.2277","17.9338","180","Capacitor, Ceramic, 1.0µF 16V X6S 0402,±10%"
"C81","4.7µF","TopLayer","CAPC1608X06L","121.2290","23.2460","180","Capacitor, Ceramic, 4.7µF 25V X6S 0603,±10%"
"C80","100nF","TopLayer","CAPC0603X03L_C","120.7778","22.2838","0","Capacitor, Ceramic, 100nF 16V X7S 0201,±10%"
"C84","22nF","TopLayer","CAPC0603X03L_C","118.5487","24.0064","270","Capacitor, Ceramic, 22nF 10V X5R 0201,±10%"
"C79","0.47µF","TopLayer","CAPC0603X03L_C","120.7778","21.6126","180","Capacitor, Ceramic, 0.47µF 6.3V X5R 0201,±10%"
"C86","2.2µF","TopLayer","CAPC0603X03L_C","117.2750","24.0064","270","Capacitor, Ceramic, 2.2µF 10V X5R 0201,±10%"
"C87","1.0µF","TopLayer","CAPC1005X04L","115.7016","24.2338","270","Capacitor, Ceramic, 1.0µF 10V X7S 0402,±10%"
"X4","40MHz","TopLayer","BT-XTAL_1612","117.6250","25.9750","0","XTAL SMD 1612, 40MHz, Cl=8pF, Total Tol: ±10ppm"
"U26","LFD_Diplexer","TopLayer","CAF-50P160X80-6N","125.7180","18.8972","270","Signal Conditioning 2.4GHz and 5GHz Diplexer"
"SW7","Switch","TopLayer","CAS-D20A","52.3214","19.4098","0","SMD slide Switch 2xSPDT"
"SB19","Solderbridge","TopLayer","Solderbridge","8.6106","60.1378","180","Solderbridge"
"R11","49.9R","TopLayer","RESC0603X03L_C","49.4260","31.0388","0","Resistor, ±1%, 0.05W"
"X3","32MHz","TopLayer","BT-XTAL_2016","51.7010","33.9026","90","XTAL SMD 2016, 32MHz, Cl=8pF, ±30ppm, -40°C ~ 105°C"
"C30","100nF","TopLayer","CAPC0603X03L_C","46.7510","25.1732","270","Capacitor, X5R, ±10%"
"C31","100nF","TopLayer","CAPC0603X03L_C","49.4260","30.3732","0","Capacitor, X5R, ±10%"
"C32","100nF","TopLayer","CAPC0603X03L_C","49.4260","32.5120","0","Capacitor, X5R, ±10%"
"C33","100nF","TopLayer","CAPC0603X03L_C","49.2260","34.1645","0","Capacitor, X5R, ±10%"
"C34","100nF","TopLayer","CAPC0603X03L_C","40.2760","32.2982","270","Capacitor, X5R, ±10%"
"C35","100nF","TopLayer","CAPC0603X03L_C","40.0010","29.9232","180","Capacitor, X5R, ±10%"
"C36","100nF","TopLayer","CAPC0603X03L_C","40.0010","27.5482","180","Capacitor, X5R, ±10%"
"C37","100nF","TopLayer","CAPC0603X03L_C","43.6526","25.1732","270","Capacitor, X5R, ±10%"
"C38","1.0µF","TopLayer","CAPC1005X04L","41.7260","35.8732","270","Capacitor, X5R, ±5%, 6.3V"
"C39","1.0µF","TopLayer","CAPC1005X04L","43.8260","35.8532","0","Capacitor, X5R, ±5%, 6.3V"
"C40","4.7µF","TopLayer","CAPC1608X06L","39.1510","36.1032","90","Capacitor, X7S, ±10%, 10V"
"R10","2R2","TopLayer","RESC0603X03L_C","38.1000","36.3474","270","Resistor, ±1%, 0.05W"
"Q2","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","50.2278","27.2860","270","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"C72","4.7µF","TopLayer","CAPC1608X06L","40.2760","36.1032","90","Capacitor, X7R, ±10%, 6.3V"
"C26","1.0µF","TopLayer","CAPC1005X04L","48.1010","35.0732","0","Capacitor, X5R, ±5%, 6.3V"
"C73","100nF","TopLayer","CAPC0603X03L_C","46.0950","34.3482","0","Capacitor, X5R, ±10%"
"C27","2.2nF","TopLayer","CAPC0603X03L_C","49.4260","31.6738","0","Capacitor, X7R, ±10%, 10V"
"C74","1.0µF","TopLayer","CAPC1005X04L","43.4760","34.9782","0","Capacitor, X5R, ±5%, 6.3V"
"C25","1.0µF","TopLayer","CAPC1005X04L","46.1260","35.0732","0","Capacitor, X5R, ±5%, 6.3V"
"U2","nRF5340-QKAA","TopLayer","AQFN40P700X700X85_HS-99N","44.5760","30.0482","0","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"
"X1","32MHz","TopLayer","BT-XTAL_2016","123.2026","41.2432","90","XTAL SMD 2016, 32MHz, Cl=8pF, ±30ppm, -40°C ~ 105°C"
"C15","100nF","TopLayer","CAPC0603X03L_C","115.4042","32.5138","270","Capacitor, X5R, ±10%"
"C14","100nF","TopLayer","CAPC0603X03L_C","112.0514","32.5138","270","Capacitor, X5R, ±10%"
"C8","100nF","TopLayer","CAPC0603X03L_C","118.4026","32.5138","270","Capacitor, X5R, ±10%"
"X2","32.768kHz","TopLayer","XTAL_2012","109.5276","34.9138","0","XTAL SMD 2012, 32.768kHz, 9pF, ±20ppm"
"C13","100nF","TopLayer","CAPC0603X03L_C","110.0026","33.8638","180","Capacitor, X5R, ±10%"
"C24","100nF","TopLayer","CAPC0603X03L_C","82.3214","16.8148","0","Capacitor, X5R, ±10%"
"U25","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","82.8040","19.0912","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"TP57","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","80.7182","18.7988","180","1.5mm circular SMD testpad"
"TP56","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","83.7184","18.7988","180","1.5mm circular SMD testpad"
"TP55","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","83.7184","15.7988","180","1.5mm circular SMD testpad"
"TP54","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","80.7182","15.7988","180","1.5mm circular SMD testpad"
"L1","2.2nH","TopLayer","INDC0603X03L_C","121.2262","38.3968","0","Inductor, 600mA, ±0.1nH, 120mOhm"
"C21","N.C.","TopLayer","CAPC0603X03L_C_NC","122.0978","38.6814","270","Not mounted"
"SB26","Solderbridge","TopLayer","Solderbridge","77.7240","8.7884","180","Solderbridge"
"R75","1k62","TopLayer","RESC0603X03L_C","51.3080","44.5516","270","Resistor, ±1%, 0.05W"
"U1","nRF5340-QKAA","TopLayer","AQFN40P700X700X85_HS-99N","116.0776","37.3888","0","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"
"C18","4.7µF","TopLayer","CAPC1608X06L","111.7776","43.4438","90","Capacitor, X7S, ±10%, 10V"
"L2","10µH","TopLayer","INDC1608X06L","119.0526","43.4638","180","Inductor, 250mA, ±20%, 1.05ohm. -55°C ~ 125°C"
